game_id,player,positionGroupType,shirtNumber,team
12872,"{'id': '17916', 'nickname': 'Adyson'}",LM,44,"{'id': '425', 'name': 'América Mineiro'}"
12872,"{'id': '18810', 'nickname': 'Renato Marques'}",CF,78,"{'id': '425', 'name': 'América Mineiro'}"
12872,"{'id': '17907', 'nickname': 'Breno Cascardo'}",CM,28,"{'id': '425', 'name': 'América Mineiro'}"
12872,"{'id': '23375', 'nickname': 'Paulinho'}",DM,72,"{'id': '425', 'name': 'América Mineiro'}"
12872,"{'id': '24909', 'nickname': 'Jonathan Alecxander'}",RCB,71,"{'id': '425', 'name': 'América Mineiro'}"
12872,"{'id': '24910', 'nickname': 'Yago Souza'}",AM,69,"{'id': '425', 'name': 'América Mineiro'}"
12872,"{'id': '24911', 'nickname': 'Yago Santos'}",CM,68,"{'id': '425', 'name': 'América Mineiro'}"
12872,"{'id': '24912', 'nickname': 'Natan'}",GK,73,"{'id': '425', 'name': 'América Mineiro'}"
12872,"{'id': '3697', 'nickname': 'Washington Aguerre'}",GK,93,"{'id': '425', 'name': 'América Mineiro'}"
12872,"{'id': '23374', 'nickname': 'Samuel'}",RB,74,"{'id': '425', 'name': 'América Mineiro'}"
12872,"{'id': '19125', 'nickname': 'Rafael Barcelos'}",DM,70,"{'id': '425', 'name': 'América Mineiro'}"
12872,"{'id': '24913', 'nickname': 'Kauã Diniz'}",DM,15,"{'id': '425', 'name': 'América Mineiro'}"
12872,"{'id': '18192', 'nickname': 'Javier Méndez'}",DM,23,"{'id': '425', 'name': 'América Mineiro'}"
12873,"{'id': '12769', 'nickname': 'Tomas Rincon'}",CM,25,"{'id': '443', 'name': 'Santos FC'}"
12873,"{'id': '18902', 'nickname': 'Weslley Patati'}",LW,43,"{'id': '443', 'name': 'Santos FC'}"
12873,"{'id': '16187', 'nickname': 'Marcelo Benevenuto'}",RCB,5,"{'id': '437', 'name': 'Fortaleza'}"
12873,"{'id': '19902', 'nickname': 'Pedro Augusto'}",DM,21,"{'id': '437', 'name': 'Fortaleza'}"
12873,"{'id': '16173', 'nickname': 'Silvio Romero'}",CF,18,"{'id': '437', 'name': 'Fortaleza'}"
12873,"{'id': '3893', 'nickname': 'Jean Lucas'}",CM,8,"{'id': '443', 'name': 'Santos FC'}"
12873,"{'id': '17950', 'nickname': 'Diogenes'}",GK,52,"{'id': '443', 'name': 'Santos FC'}"
12873,"{'id': '16186', 'nickname': 'Titi'}",LCB,4,"{'id': '437', 'name': 'Fortaleza'}"
12873,"{'id': '16177', 'nickname': 'Yago Pikachu'}",RB,22,"{'id': '437', 'name': 'Fortaleza'}"
12873,"{'id': '17972', 'nickname': 'Lucas Braga'}",LWB,30,"{'id': '443', 'name': 'Santos FC'}"
12873,"{'id': '17960', 'nickname': 'João Lucas'}",RB,13,"{'id': '443', 'name': 'Santos FC'}"
12873,"{'id': '16189', 'nickname': 'Bruno Pacheco'}",LB,6,"{'id': '437', 'name': 'Fortaleza'}"
12873,"{'id': '14817', 'nickname': 'Imanol Machuca'}",RW,39,"{'id': '437', 'name': 'Fortaleza'}"
12873,"{'id': '3084', 'nickname': 'Yeferson Soteldo'}",AM,10,"{'id': '443', 'name': 'Santos FC'}"
12873,"{'id': '17973', 'nickname': 'Stiven Mendoza'}",LW,20,"{'id': '443', 'name': 'Santos FC'}"
12873,"{'id': '2364', 'nickname': 'Tomás Pochettino'}",CM,7,"{'id': '437', 'name': 'Fortaleza'}"
12873,"{'id': '16167', 'nickname': 'Lucas Crispim'}",AM,10,"{'id': '437', 'name': 'Fortaleza'}"
12873,"{'id': '3562', 'nickname': 'Julio Furch'}",CF,11,"{'id': '443', 'name': 'Santos FC'}"
12873,"{'id': '18304', 'nickname': 'Miguel Terceros'}",AM,47,"{'id': '443', 'name': 'Santos FC'}"
12873,"{'id': '16172', 'nickname': 'Zé Welison'}",CM,17,"{'id': '437', 'name': 'Fortaleza'}"
12873,"{'id': '18373', 'nickname': 'Mauricio Kozlinski'}",GK,30,"{'id': '437', 'name': 'Fortaleza'}"
12873,"{'id': '18107', 'nickname': 'João Paulo'}",GK,34,"{'id': '443', 'name': 'Santos FC'}"
12873,"{'id': '17976', 'nickname': 'Marcos Leonardo'}",CF,9,"{'id': '443', 'name': 'Santos FC'}"
12873,"{'id': '17969', 'nickname': 'Dodi'}",CM,19,"{'id': '443', 'name': 'Santos FC'}"
12873,"{'id': '16130', 'nickname': 'Marinho'}",RW,12,"{'id': '437', 'name': 'Fortaleza'}"
12873,"{'id': '16715', 'nickname': 'Dudu'}",RB,20,"{'id': '437', 'name': 'Fortaleza'}"
12873,"{'id': '11717', 'nickname': 'Joao Basso'}",RCB,2,"{'id': '443', 'name': 'Santos FC'}"
12873,"{'id': '22100', 'nickname': 'Nonato'}",CM,7,"{'id': '443', 'name': 'Santos FC'}"
12873,"{'id': '23510', 'nickname': 'Alfredo Morelos'}",CF,22,"{'id': '443', 'name': 'Santos FC'}"
12873,"{'id': '15810', 'nickname': 'Calebe'}",AM,27,"{'id': '437', 'name': 'Fortaleza'}"
12873,"{'id': '19612', 'nickname': 'Gonzalo Escobar'}",LB,33,"{'id': '437', 'name': 'Fortaleza'}"
12873,"{'id': '17953', 'nickname': 'Messias'}",MCB,24,"{'id': '443', 'name': 'Santos FC'}"
12873,"{'id': '18081', 'nickname': 'Lucas Lima'}",CM,23,"{'id': '443', 'name': 'Santos FC'}"
12873,"{'id': '18615', 'nickname': 'Bruno Mezenga'}",CF,88,"{'id': '443', 'name': 'Santos FC'}"
12873,"{'id': '17016', 'nickname': 'Guilherme Augusto'}",LW,29,"{'id': '437', 'name': 'Fortaleza'}"
12873,"{'id': '16174', 'nickname': 'Emanuel Brítez'}",RB,19,"{'id': '437', 'name': 'Fortaleza'}"
12873,"{'id': '16726', 'nickname': 'Dodô'}",LCB,16,"{'id': '443', 'name': 'Santos FC'}"
